yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,salary
1987,NL,SLN,STL,E,1,162,81.0,95,67,Y,,Y,N,798,5500,1449,252,49,94,644,933.0,248.0,72.0,,,693,637,3.91,10,7,48,4398,1484,129,533,873,116,172.0,0.98,St. Louis Cardinals,Busch Stadium II,3072122.0,102,102,STL,SLN,SLN,11758000
1987,NL,NYN,NYM,E,2,162,81.0,92,70,N,,N,N,823,5601,1499,287,34,192,592,1012.0,159.0,49.0,,,698,620,3.84,16,7,51,4362,1407,135,510,1032,137,137.0,0.97,New York Mets,Shea Stadium,3034129.0,95,93,NYM,NYN,NYN,13846714
1987,NL,MON,WSN,E,3,162,81.0,91,71,N,,N,N,741,5527,1467,310,39,120,501,918.0,166.0,74.0,,,720,632,3.92,16,8,50,4350,1428,145,446,1012,147,122.0,0.97,Montreal Expos,Stade Olympique,1850324.0,103,103,MON,MON,MON,6942052
1987,NL,PHI,PHI,E,4,162,81.0,80,82,N,,N,N,702,5475,1390,248,51,169,587,1109.0,111.0,49.0,,,749,673,4.18,13,7,48,4344,1453,167,587,877,121,137.0,0.98,Philadelphia Phillies,Veterans Stadium,2100110.0,103,104,PHI,PHI,PHI,11514233
1987,NL,PIT,PIT,E,4,162,81.0,80,82,N,,N,N,723,5536,1464,282,45,131,535,914.0,140.0,58.0,,,744,674,4.2,25,13,39,4335,1377,164,562,914,123,147.0,0.98,Pittsburgh Pirates,Three Rivers Stadium,1161193.0,100,100,PIT,PIT,PIT,7652000
1987,NL,CHN,CHC,E,6,161,80.0,76,85,N,,N,N,720,5583,1475,244,33,209,504,1064.0,109.0,48.0,,,801,725,4.55,11,5,48,4302,1524,159,628,1024,130,154.0,0.97,Chicago Cubs,Wrigley Field,2035130.0,103,104,CHC,CHN,CHN,14307999
1987,NL,SFN,SFG,W,1,162,81.0,90,72,Y,,N,N,783,5608,1458,274,32,205,511,1094.0,126.0,97.0,,,669,601,3.68,19,10,38,4413,1407,146,547,1038,129,183.0,0.98,San Francisco Giants,Candlestick Park,1917168.0,96,95,SFG,SFN,SFN,7290000
1987,NL,CIN,CIN,W,2,162,81.0,84,78,N,,N,N,783,5560,1478,262,29,192,514,928.0,169.0,46.0,,,752,684,4.24,7,6,44,4356,1486,170,485,919,128,137.0,0.97,Cincinnati Reds,Riverfront Stadium,2185205.0,104,103,CIN,CIN,CIN,9281500
1987,NL,HOU,HOU,W,3,162,81.0,76,86,N,,N,N,648,5485,1386,238,28,122,526,936.0,162.0,46.0,,,678,615,3.84,13,13,33,4323,1363,141,525,1137,115,113.0,0.98,Houston Astros,Astrodome,1909902.0,96,96,HOU,HOU,HOU,12608371
1987,NL,LAN,LAD,W,4,162,81.0,73,89,N,,N,N,635,5517,1389,236,23,125,445,923.0,128.0,59.0,,,675,601,3.72,29,8,32,4365,1415,130,565,1097,155,144.0,0.97,Los Angeles Dodgers,Dodger Stadium,2797409.0,98,98,LAD,LAN,LAN,13675403
1987,NL,ATL,ATL,W,5,161,81.0,69,92,N,,N,N,747,5428,1401,284,24,152,641,834.0,135.0,68.0,,,829,734,4.63,16,4,32,4281,1529,163,587,837,116,170.0,0.98,Atlanta Braves,Atlanta-Fulton County Stadium,1217402.0,104,106,ATL,ATL,ATL,16544560
1987,NL,SDN,SDP,W,6,162,81.0,65,97,N,,N,N,668,5456,1419,209,48,113,577,992.0,198.0,91.0,,,763,680,4.27,14,10,33,4299,1402,175,602,897,146,135.0,0.97,San Diego Padres,Jack Murphy Stadium,1454061.0,96,97,SDP,SDN,SDN,11065796
